Player_Rank,Player_Name,Player_Team,Player_Position,Position_Rank,Dollar_Value1,Dollar_Value2
1,Shohei Ohtani,LAD,DH/SP,DH1,$83,$55
2,Juan Soto,NYM,OF,OF1,$54,$38
3,Aaron Judge,NYY,OF,OF2,$52,$37
4,Jose Ramirez,CLE,3B,3B1,$52,$37
5,Bobby Witt Jr.,KC,SS,SS1,$47,$34
6,Mookie Betts,LAD,SS/OF,SS2,$41,$31
7,Kyle Tucker,CHC,OF,OF4,$41,$30
8,Tarik Skubal,DET,SP,SP2,$41,$30
9,Yordan Alvarez,HOU,OF,OF5,$37,$28
10,Vladimir Guerrero Jr.,TOR,1B,1B1,$34,$27
11,Corbin Carroll,ARI,OF,OF6,$34,$26
12,Zack Wheeler,PHI,SP,SP3,$34,$26
13,Paul Skenes,PIT,SP,SP4,$32,$25
14,Gunnar Henderson,BAL,SS,SS3,$31,$25
15,Logan Gilbert,SEA,SP,SP5,$30,$24
16,Gerrit Cole,NYY,SP,SP6,$30,$24
17,Francisco Lindor,NYM,SS,SS4,$29,$24
18,Dylan Cease,SD,SP,SP7,$28,$23
19,Fernando Tatis Jr.,SD,OF,OF7,$27,$22
20,Ketel Marte,ARI,2B,2B1,$27,$22
21,Rafael Devers,BOS,3B,3B2,$27,$22
22,Freddie Freeman,LAD,1B,1B2,$27,$22
23,Corbin Burnes,ARI,SP,SP8,$26,$22
24,Garrett Crochet,BOS,SP,SP9,$26,$22
25,William Contreras,MIL,C,C1,$26,$22
26,Steven Kwan,CLE,OF,OF8,$26,$21
27,Anthony Santander,TOR,OF,OF9,$25,$21
28,Adley Rutschman,BAL,C,C2,$25,$21
29,Cole Ragans,KC,SP,SP10,$25,$21
30,Emmanuel Clase,CLE,RP,RP1,$25,$21
31,Chris Sale,ATL,SP,SP11,$25,$21
32,Marcus Semien,TEX,2B,2B2,$25,$21
33,Ronald Acuna Jr.,ATL,OF,OF10,$24,$21
34,Luis Arraez,SD,1B/2B,1B3,$24,$21
35,Manny Machado,SD,3B,3B3,$24,$20
36,Devin Williams,NYY,RP,RP2,$24,$20
37,Josh Hader,HOU,RP,RP3,$24,$20
38,Alex Bregman,BOS,3B,3B4,$24,$20
39,Corey Seager,TEX,SS,SS5,$23,$20
40,George Kirby,SEA,SP,SP12,$22,$19
41,Edwin Diaz,NYM,RP,RP4,$22,$19
42,Framber Valdez,HOU,SP,SP13,$21,$19
43,Pablo Lopez,MIN,SP,SP14,$21,$19
44,Blake Snell,LAD,SP,SP15,$21,$18
45,Jackson Chourio,MIL,OF,OF11,$20,$18
46,Bryce Harper,PHI,1B,1B4,$20,$18
47,Jackson Merrill,SD,OF,OF12,$20,$18
48,Ryan Helsley,STL,RP,RP5,$20,$18
49,Jose Altuve,HOU,2B,2B4,$19,$18
50,Trea Turner,PHI,SS,SS6,$19,$18
51,Mason Miller,ATH,RP,RP6,$19,$18
52,Matt Olson,ATL,1B,1B5,$19,$17
53,Will Smith,LAD,C,C3,$18,$17
54,Aaron Nola,PHI,SP,SP16,$18,$17
55,Luis Castillo,SEA,SP,SP17,$18,$17
56,Sonny Gray,STL,SP,SP18,$18,$17
57,Michael King,SD,SP,SP19,$18,$17
58,Raisel Iglesias,ATL,RP,RP7,$17,$17
59,Pete Alonso,NYM,1B,1B6,$17,$16
60,Jarren Duran,BOS,OF,OF13,$16,$16
61,Julio Rodriguez,SEA,OF,OF14,$16,$16
62,Max Fried,NYY,SP,SP20,$16,$16
